userId,country,city,campaign_id,creative_id,payment
1,USA,New York,101,201,50.00
2,Canada,Toronto,102,202,30.00
3,Germany,Berlin,103,203,45.00
4,France,Paris,104,204,25.00
5,UK,London,105,205,60.00
6,Russia,Moscow,106,206,40.00
7,Italy,Rome,107,207,35.00
8,Spain,Madrid,108,208,55.00
9,Australia,Sydney,109,209,70.00
10,Japan,Tokyo,110,210,20.00
11,Russia,St. Petersburg,111,211,65.00
12,USA,Los Angeles,112,212,75.00
13,Canada,Vancouver,113,213,30.00
14,Germany,Munich,114,214,50.00
15,France,Lyon,115,215,45.00
16,UK,Manchester,116,216,35.00
17,Russia,Novosibirsk,117,217,40.00
18,Italy,Milan,118,218,55.00
19,Spain,Barcelona,119,219,65.00
20,Australia,Melbourne,120,220,70.00
21,Japan,Osaka,121,221,25.00
22,Russia,Yekaterinburg,122,222,60.00
23,USA,Chicago,123,223,35.00
24,Canada,Montreal,124,224,45.00
25,Germany,Hamburg,125,225,50.00
26,France,Marseille,126,226,70.00
27,UK,Birmingham,127,227,40.00
28,Russia,Kazan,128,228,55.00
29,Italy,Turin,129,229,65.00
30,Spain,Valencia,130,230,30.00
31,Australia,Brisbane,131,231,75.00
32,Japan,Sapporo,132,232,20.00
33,Russia,Sochi,133,233,45.00
34,USA,Houston,134,234,55.00
35,Canada,Calgary,135,235,35.00
36,Germany,Dusseldorf,136,236,25.00
37,France,Toulouse,137,237,60.00
38,UK,Glasgow,138,238,70.00
39,Russia,Samara,139,239,50.00
40,Italy,Florence,140,240,40.00
41,Spain,Seville,141,241,65.00
42,Australia,Perth,142,242,30.00
43,Japan,Fukuoka,143,243,75.00
44,Russia,Ufa,144,244,35.00
45,USA,Phoenix,145,245,50.00
46,Canada,Edmonton,146,246,55.00
47,Germany,Leipzig,147,247,25.00
48,France,Nice,148,248,60.00
49,UK,Edinburgh,149,249,45.00
50,Russia,Rostov-on-Don,150,250,70.00
51,Italy,Bologna,151,251,30.00
52,Spain,Zaragoza,152,252,65.00
53,Australia,Adelaide,153,253,20.00
54,Japan,Kobe,154,254,40.00
55,Russia,Chelyabinsk,155,255,55.00
56,USA,Philadelphia,156,256,75.00
57,Canada,Ottawa,157,257,35.00
58,Germany,Bremen,158,258,45.00
59,France,Strasbourg,159,259,70.00
60,UK,Cardiff,160,260,50.00
61,Russia,Vladivostok,161,261,25.00
62,Italy,Genoa,162,262,30.00
63,Spain,Murcia,163,263,65.00
64,Australia,Canberra,164,264,40.00
65,Japan,Nagoya,165,265,60.00
66,Russia,Krasnoyarsk,166,266,55.00
67,USA,San Francisco,167,267,75.00
68,Canada,Winnipeg,168,268,35.00
69,Germany,Essen,169,269,50.00
70,France,Bordeaux,170,270,45.00
71,UK,Bristol,171,271,70.00
72,Russia,Tomsk,172,272,25.00
73,Italy,Palermo,173,273,60.00
74,Spain,Pamplona,174,274,30.00
75,Australia,Darwin,175,275,40.00
76,Japan,Kyoto,176,276,55.00
77,Russia,Volgograd,177,277,70.00
78,USA,Dallas,178,278,50.00
79,Canada,Quebec City,179,279,45.00
80,Germany,Stuttgart,180,280,35.00
81,France,Nantes,181,281,25.00
82,UK,Newcastle,182,282,65.00
83,Russia,Khabarovsk,183,283,30.00
84,Italy,Verona,184,284,55.00
85,Spain,Santander,185,285,75.00
86,Australia,Hobart,186,286,40.00
87,Japan,Saitama,187,287,50.00
88,Russia,Barnaul,188,288,35.00
89,USA,Miami,189,289,45.00
90,Canada,Halifax,190,290,60.00
91,Germany,Bonn,191,291,70.00
92,France,Lille,192,292,25.00
93,UK,Sheffield,193,293,30.00
94,Russia,Krasnodar,194,294,65.00
95,Italy,Bari,195,295,55.00
96,Spain,Zamora,196,296,40.00
97,Australia,Geelong,197,297,75.00
98,Japan,Hiroshima,198,298,35.00
99,Russia,Tula,199,299,50.00
100,USA,Atlanta,200,300,45.00
